DRUG_TYPE,DRUG_DESCRIPTOR,TARGET_TYPE,TWEET_COUNT,COMPANY_TYPE,NUMBER_OF_MONTHS,MARKET_CAP,CAGR_2,CAGR_5,STATUS,HIGHEST_DEV_STAGE,THERAPY_AREA,INDICATION,MOL_TYPE,TRIAL_COUNT,PUBLIC_NEWS,PUBLICATION_COUNT,DEALS,DEAL_STATUS,DEAL_AMOUNT,DEAL_TYPE,ACQUIRED,HOT/NOT
1,13,13,0,1,0,0,0,0,2,3,8,4,6,1,0,0,5,1,1037.61,7,0,0
1,7,1,200,2,0,140581.9,409.04,91.735,2,3,8,4,6,0,0,47302,1,1,1160,0,1,0
1,14,18,46,1,77,0,0,0,6,7,8,19,6,23,6,659,7,1,0,1,0,1
0,9,13,0,0,53,0,0,0,2,3,8,4,8,10,38,0,1,0,0,10,0,0
1,13,13,0,1,0,0,0,0,2,3,8,4,2,0,0,0,0,6,0,6,0,0
1,4,2,10,1,0,0,0,0,2,3,8,19,8,0,1,30495,12,1,3054.8,0,1,0
1,9,15,6,2,8,5992.51,1.18,0.47,2,5,0,13,8,1,0,579,0,6,0,6,0,1
1,14,17,30,2,0,30923.07,106.025,33.527,7,3,8,6,8,0,0,952,1,1,0,9,0,1
1,7,18,46,2,0,5980.25,149.768,44.216,8,3,8,6,6,0,0,659,3,2,973.67,3,0,1
1,13,13,0,1,0,0,0,0,2,3,8,4,6,0,0,0,2,1,9,10,0,0
1,14,16,14,1,0,0,0,0,2,3,8,4,6,0,0,2772,5,1,242.59,3,0,0
1,1,19,64,2,2,1008.29,-24.696,-10.725,8,3,4,11,8,0,3,1207,3,1,548.5,3,0,1
1,13,17,30,1,19,0,0,0,4,5,8,18,6,1,10,952,6,1,369.2,3,0,1
1,9,8,13,1,0,0,0,0,2,3,7,2,6,0,0,180963,0,6,0,6,0,0
2,9,15,6,2,0,5992.51,1.18,0.47,2,5,0,12,8,16,18,579,0,6,0,6,0,1
1,7,13,0,1,0,0,0,0,2,3,8,4,6,0,0,0,0,6,0,6,0,0
1,13,13,0,1,0,0,0,0,2,3,8,19,6,0,0,0,0,6,0,6,0,0
1,9,13,0,2,0,157870.78,242.103,63.55,2,3,8,4,8,0,0,0,0,6,0,6,0,0
1,9,0,0,1,0,0,0,0,7,9,6,3,8,0,0,12421,1,1,0,5,0,1
1,13,17,30,2,110,42616,1521.16,204.741,1,3,3,9,6,3,3,952,3,1,587.5,10,1,1
1,10,0,0,2,21,90,-43.204,-20.25,2,7,8,19,8,11,2,12421,14,1,53.4,3,0,1
1,14,13,0,1,0,0,0,0,2,3,8,4,6,0,0,0,0,6,0,6,0,0
1,13,13,0,2,0,150.77,-79.728,-47.185,2,3,8,4,2,0,0,0,17,2,401.3,3,0,0
1,14,13,0,1,0,0,0,0,2,3,8,4,0,0,0,0,0,6,0,6,0,0
1,14,18,46,2,0,1254.57,-86,-54.5,8,9,8,6,6,0,0,659,5,1,70,3,0,1
1,7,17,30,2,41,190990,84.67,27.808,4,5,8,18,6,1,5,952,1,1,36.74,10,0,1
1,9,0,0,1,0,0,0,0,5,6,0,8,8,3,30,12421,0,1,0,1,0,1
1,4,2,10,1,0,0,0,0,2,3,8,4,8,0,0,30495,2,1,8.9,10,0,0
1,9,0,0,2,0,60,-52.32,-25.645,5,6,2,17,8,2,0,12421,5,1,144.04,10,0,1
1,10,15,6,2,0,446308,299.514,74.025,8,9,0,12,8,0,0,579,0,6,0,6,0,1
1,9,13,0,2,0,8211,145.75,43.285,2,3,7,2,2,0,0,0,10,4,1440.7,3,0,0
1,9,19,64,2,0,202097,169.431,48.655,8,3,4,14,8,0,0,1207,8,1,12094.5,3,1,1
1,9,15,6,2,0,202097,169.431,48.655,2,0,0,12,8,0,0,579,0,6,0,6,0,1
1,14,18,46,2,50,2082.31,35.156,12.806,4,6,8,19,6,6,7,659,9,1,3012.9,7,0,1
1,14,18,46,2,0,150717,104.182,33.047,4,6,8,18,6,3,5,659,2,1,0,7,0,1
1,13,6,0,2,0,53377.31,-11.486,-4.763,2,3,4,5,6,0,0,532,4,1,94423.71,0,1,1
1,4,13,0,1,0,0,0,0,2,3,8,4,7,0,0,0,0,6,0,6,0,0
1,7,17,30,2,254,53377.31,-11.486,-4.763,3,8,8,6,6,87,78,952,24,1,8900,1,1,1
1,6,13,0,2,0,24.52,-87.641,-56.669,2,3,8,4,3,0,0,0,11,1,584.16,3,0,0
1,14,14,1000,2,26,226339.6,288.996,72.178,8,9,8,6,5,1,0,21317,0,6,0,6,0,1
1,7,13,0,1,0,0,0,0,2,3,8,4,3,5,0,0,1,1,89,10,0,0
1,13,16,14,2,0,179159,288.996,72.178,2,3,8,4,6,0,0,2772,1,1,6500,0,1,0
1,14,14,1000,2,11,446308,299.514,74.025,0,5,8,19,8,1,0,21317,2,1,0,1,0,1
1,14,14,1000,2,4,140880.6,409.04,91.735,0,4,8,6,8,12,47,21317,4,1,3570,3,0,1
1,13,6,0,1,32,0,0,0,8,5,4,11,6,4,0,532,21,1,3794.2,10,1,1
1,7,9,0,1,261,0,0,0,2,6,8,1,6,13,0,180963,0,1,0,1,0,0
1,14,18,46,1,0,0,0,0,8,1,8,6,6,0,0,659,0,6,0,6,0,1
1,9,0,0,1,0,0,0,0,2,9,0,12,8,1,0,12421,6,1,21.9,3,0,1
1,1,13,0,2,0,94.71,-96,-72.51,2,3,8,4,8,1,6,0,16,2,171.66,3,0,0
1,9,13,0,1,0,0,0,0,2,3,8,4,8,0,0,0,0,6,0,6,0,0
1,14,17,30,2,0,637.64,-34.23,-15.43,4,6,9,6,8,1,3,952,7,1,941.9,10,1,1
1,10,15,6,2,0,5992.51,1.18,0.47,2,3,0,14,8,1,0,579,0,6,0,6,0,1
1,7,6,0,2,0,53377.31,-11.486,-4.763,2,3,4,12,6,0,0,532,4,1,94423.71,0,1,1
